Latitude modul,Longitude modul,Sat count,Speed,Alt,Dates
-5.372136, 105.250106, 9, 0.52, 127.90, 14/9/2021
-5.372136, 105.250106, 9, 0.52, 127.90, 14/9/2021
-5.372135, 105.250106, 9, 0.11, 127.90, 14/9/2021
-5.372135, 105.250106, 9, 0.11, 127.90, 14/9/2021
-5.372135, 105.250106, 9, 0.11, 127.90, 14/9/2021
-5.372135, 105.250106, 9, 0.11, 127.90, 14/9/2021
-5.372134, 105.250106, 9, 0.30, 127.90, 14/9/2021
-5.372134, 105.250106, 9, 0.30, 127.90, 14/9/2021
-5.372134, 105.250106, 9, 0.30, 127.90, 14/9/2021
-5.372134, 105.250106, 9, 0.30, 127.90, 14/9/2021
-5.372133, 105.250107, 9, 1.22, 127.90, 14/9/2021
-5.372133, 105.250107, 9, 1.22, 127.90, 14/9/2021
-5.372133, 105.250107, 9, 1.22, 127.80, 14/9/2021
-5.372133, 105.250107, 9, 1.22, 127.80, 14/9/2021
-5.372133, 105.250107, 9, 1.22, 127.80, 14/9/2021
-5.372129, 105.250108, 9, 2.13, 127.80, 14/9/2021
-5.372129, 105.250108, 9, 2.13, 127.80, 14/9/2021
-5.372129, 105.250108, 9, 2.13, 127.80, 14/9/2021
-5.372129, 105.250108, 9, 2.13, 127.80, 14/9/2021
-5.372129, 105.250108, 9, 2.13, 127.80, 14/9/2021
-5.372126, 105.250110, 9, 1.28, 127.80, 14/9/2021
-5.372126, 105.250110, 9, 1.28, 127.80, 14/9/2021
-5.372126, 105.250110, 9, 1.28, 127.80, 14/9/2021
-5.372125, 105.250110, 9, 0.22, 127.80, 14/9/2021
-5.372125, 105.250110, 9, 0.22, 127.80, 14/9/2021
-5.372125, 105.250110, 9, 0.22, 127.80, 14/9/2021
-5.372125, 105.250110, 9, 0.22, 127.80, 14/9/2021
-5.372123, 105.250111, 9, 1.67, 127.80, 14/9/2021
-5.372123, 105.250111, 9, 1.67, 127.80, 14/9/2021
-5.372123, 105.250111, 9, 1.67, 127.80, 14/9/2021
-5.372122, 105.250111, 9, 2.17, 127.80, 14/9/2021
-5.372122, 105.250111, 9, 2.17, 127.80, 14/9/2021
-5.372122, 105.250111, 9, 2.17, 126.70, 14/9/2021
-5.372122, 105.250111, 9, 2.17, 126.70, 14/9/2021
-5.372122, 105.250111, 9, 2.17, 126.70, 14/9/2021
-5.372123, 105.250112, 9, 0.39, 126.70, 14/9/2021
-5.372123, 105.250112, 9, 0.39, 126.70, 14/9/2021
-5.372123, 105.250112, 9, 0.39, 126.50, 14/9/2021
-5.372123, 105.250112, 9, 0.39, 126.50, 14/9/2021
-5.372124, 105.250113, 9, 0.48, 126.50, 14/9/2021
-5.372124, 105.250113, 9, 0.48, 126.50, 14/9/2021
-5.372124, 105.250113, 9, 0.48, 126.50, 14/9/2021
-5.372126, 105.250113, 9, 0.04, 126.50, 14/9/2021
-5.372126, 105.250113, 9, 0.04, 126.50, 14/9/2021
-5.372126, 105.250113, 9, 0.04, 126.50, 14/9/2021
-5.372126, 105.250113, 9, 0.04, 126.50, 14/9/2021
-5.372126, 105.250113, 9, 0.04, 126.50, 14/9/2021
-5.372126, 105.250114, 9, 1.30, 126.50, 14/9/2021
-5.372126, 105.250114, 9, 1.30, 126.50, 14/9/2021
-5.372126, 105.250114, 9, 1.30, 126.40, 14/9/2021
-5.372126, 105.250114, 9, 1.30, 126.40, 14/9/2021
-5.372128, 105.250114, 9, 0.65, 126.40, 14/9/2021
-5.372128, 105.250114, 9, 0.65, 126.40, 14/9/2021
-5.372128, 105.250114, 9, 0.65, 126.40, 14/9/2021
-5.372128, 105.250114, 9, 0.65, 126.40, 14/9/2021
-5.372130, 105.250114, 9, 0.54, 126.40, 14/9/2021
-5.372130, 105.250114, 9, 0.54, 126.40, 14/9/2021
-5.372130, 105.250114, 9, 0.54, 126.60, 14/9/2021
-5.372130, 105.250114, 9, 0.54, 126.60, 14/9/2021
-5.372132, 105.250113, 9, 0.50, 126.60, 14/9/2021
-5.372132, 105.250113, 9, 0.50, 126.60, 14/9/2021
-5.372132, 105.250113, 9, 0.50, 126.60, 14/9/2021
-5.372132, 105.250113, 9, 0.50, 126.60, 14/9/2021
-5.372133, 105.250113, 9, 0.74, 126.60, 14/9/2021
-5.372133, 105.250113, 9, 0.74, 126.60, 14/9/2021
-5.372133, 105.250113, 9, 0.74, 126.80, 14/9/2021
-5.372133, 105.250113, 9, 0.74, 126.80, 14/9/2021
-5.372135, 105.250113, 9, 0.61, 126.80, 14/9/2021
-5.372135, 105.250113, 9, 0.61, 126.80, 14/9/2021
-5.372135, 105.250113, 9, 0.61, 126.70, 14/9/2021
-5.372135, 105.250113, 9, 0.61, 126.70, 14/9/2021
-5.372136, 105.250113, 9, 0.39, 126.70, 14/9/2021
-5.372136, 105.250113, 9, 0.39, 126.70, 14/9/2021
-5.372136, 105.250113, 9, 0.39, 126.70, 14/9/2021
-5.372136, 105.250113, 9, 0.39, 126.70, 14/9/2021
-5.372136, 105.250113, 9, 0.39, 126.70, 14/9/2021
-5.372137, 105.250113, 9, 0.15, 126.70, 14/9/2021
-5.372137, 105.250113, 9, 0.15, 126.70, 14/9/2021
-5.372137, 105.250113, 9, 0.15, 126.70, 14/9/2021
-5.372137, 105.250113, 9, 0.15, 126.70, 14/9/2021
-5.372140, 105.250112, 9, 0.24, 126.70, 14/9/2021
-5.372140, 105.250112, 9, 0.24, 126.70, 14/9/2021
-5.372140, 105.250112, 9, 0.24, 126.60, 14/9/2021
-5.372140, 105.250112, 9, 0.24, 126.60, 14/9/2021
-5.372142, 105.250112, 9, 0.65, 126.60, 14/9/2021
-5.372142, 105.250112, 9, 0.65, 126.60, 14/9/2021
-5.372142, 105.250112, 9, 0.65, 126.60, 14/9/2021
-5.372142, 105.250112, 9, 0.65, 126.60, 14/9/2021
-5.372144, 105.250112, 9, 0.22, 126.60, 14/9/2021
-5.372144, 105.250112, 9, 0.22, 126.60, 14/9/2021
-5.372144, 105.250112, 9, 0.22, 126.60, 14/9/2021
-5.372144, 105.250112, 9, 0.22, 126.60, 14/9/2021
-5.372144, 105.250111, 9, 0.04, 126.60, 14/9/2021
-5.372144, 105.250111, 9, 0.04, 126.60, 14/9/2021
-5.372144, 105.250111, 9, 0.04, 126.70, 14/9/2021
-5.372144, 105.250111, 9, 0.04, 126.70, 14/9/2021
-5.372146, 105.250111, 9, 0.15, 126.70, 14/9/2021
-5.372146, 105.250111, 9, 0.15, 126.70, 14/9/2021
-5.372146, 105.250111, 9, 0.15, 126.70, 14/9/2021
-5.372146, 105.250111, 9, 0.15, 126.70, 14/9/2021
-5.372149, 105.250110, 9, 0.30, 126.70, 14/9/2021
-5.372149, 105.250110, 9, 0.30, 126.70, 14/9/2021
-5.372149, 105.250110, 9, 0.30, 127.10, 14/9/2021
-5.372149, 105.250110, 9, 0.30, 127.10, 14/9/2021
-5.372149, 105.250110, 9, 0.69, 127.10, 14/9/2021
-5.372149, 105.250110, 9, 0.69, 127.10, 14/9/2021
-5.372149, 105.250110, 9, 0.69, 127.20, 14/9/2021
-5.372149, 105.250110, 9, 0.69, 127.20, 14/9/2021
-5.372146, 105.250110, 9, 1.15, 127.20, 14/9/2021
-5.372146, 105.250110, 9, 1.15, 127.20, 14/9/2021
-5.372146, 105.250110, 9, 1.15, 127.20, 14/9/2021
-5.372146, 105.250110, 9, 1.15, 127.20, 14/9/2021
-5.372145, 105.250110, 9, 0.15, 127.20, 14/9/2021
-5.372145, 105.250110, 9, 0.15, 127.20, 14/9/2021
-5.372145, 105.250110, 9, 0.15, 126.90, 14/9/2021
-5.372145, 105.250110, 9, 0.15, 126.90, 14/9/2021
-5.372145, 105.250109, 9, 0.44, 126.90, 14/9/2021
-5.372145, 105.250109, 9, 0.44, 126.90, 14/9/2021
-5.372145, 105.250109, 9, 0.44, 126.90, 14/9/2021
-5.372144, 105.250109, 9, 1.04, 126.90, 14/9/2021
-5.372144, 105.250109, 9, 1.04, 126.90, 14/9/2021
-5.372144, 105.250109, 9, 1.04, 127.40, 14/9/2021
-5.372144, 105.250109, 9, 1.04, 127.40, 14/9/2021
-5.372146, 105.250108, 9, 0.19, 127.40, 14/9/2021
-5.372146, 105.250108, 9, 0.19, 127.40, 14/9/2021
-5.372146, 105.250108, 9, 0.19, 127.40, 14/9/2021
-5.372146, 105.250108, 9, 0.19, 127.40, 14/9/2021
-5.372146, 105.250108, 9, 0.19, 127.40, 14/9/2021
-5.372146, 105.250108, 9, 0.19, 127.40, 14/9/2021
-5.372145, 105.250108, 9, 0.41, 127.40, 14/9/2021
-5.372145, 105.250108, 9, 0.41, 127.40, 14/9/2021
-5.372145, 105.250108, 9, 0.41, 127.40, 14/9/2021
-5.372143, 105.250107, 9, 1.35, 127.40, 14/9/2021
-5.372143, 105.250107, 9, 1.35, 127.40, 14/9/2021
-5.372143, 105.250107, 9, 1.35, 127.40, 14/9/2021
-5.372143, 105.250107, 9, 1.35, 127.40, 14/9/2021
-5.372143, 105.250107, 9, 1.35, 127.40, 14/9/2021
-5.372143, 105.250106, 9, 1.28, 127.40, 14/9/2021
-5.372143, 105.250106, 9, 1.28, 127.40, 14/9/2021
-5.372143, 105.250106, 9, 1.28, 127.40, 14/9/2021
-5.372142, 105.250105, 9, 0.50, 127.40, 14/9/2021
-5.372142, 105.250105, 9, 0.50, 127.40, 14/9/2021
-5.372142, 105.250105, 9, 0.50, 127.40, 14/9/2021
-5.372142, 105.250105, 9, 0.50, 127.40, 14/9/2021
-5.372142, 105.250105, 9, 0.50, 127.40, 14/9/2021
-5.372144, 105.250105, 9, 0.37, 127.40, 14/9/2021
-5.372144, 105.250105, 9, 0.37, 127.40, 14/9/2021
-5.372144, 105.250105, 9, 0.37, 127.40, 14/9/2021
-5.372146, 105.250104, 9, 0.11, 127.40, 14/9/2021
-5.372146, 105.250104, 9, 0.11, 127.40, 14/9/2021
-5.372146, 105.250104, 9, 0.11, 127.40, 14/9/2021
-5.372146, 105.250104, 9, 0.11, 127.40, 14/9/2021
-5.372146, 105.250104, 9, 0.11, 127.40, 14/9/2021
-5.372147, 105.250103, 9, 0.44, 127.40, 14/9/2021
-5.372147, 105.250103, 9, 0.44, 127.40, 14/9/2021
-5.372147, 105.250102, 9, 0.41, 127.40, 14/9/2021
-5.372147, 105.250102, 9, 0.41, 127.40, 14/9/2021
-5.372147, 105.250102, 9, 0.41, 127.40, 14/9/2021
-5.372147, 105.250102, 9, 0.41, 127.40, 14/9/2021
-5.372146, 105.250101, 9, 0.22, 127.40, 14/9/2021
-5.372146, 105.250101, 9, 0.22, 127.40, 14/9/2021
-5.372146, 105.250101, 9, 0.22, 129.40, 14/9/2021
-5.372146, 105.250101, 9, 0.22, 129.40, 14/9/2021
-5.372146, 105.250101, 9, 0.22, 129.40, 14/9/2021
-5.372147, 105.250100, 9, 0.41, 129.40, 14/9/2021
-5.372147, 105.250100, 9, 0.41, 129.40, 14/9/2021
-5.372147, 105.250100, 9, 0.41, 129.70, 14/9/2021
-5.372147, 105.250100, 9, 0.41, 129.70, 14/9/2021
-5.372148, 105.250099, 9, 0.24, 129.70, 14/9/2021
-5.372148, 105.250099, 9, 0.24, 129.70, 14/9/2021
-5.372148, 105.250099, 9, 0.24, 130.00, 14/9/2021
-5.372148, 105.250099, 9, 0.24, 130.00, 14/9/2021
-5.372151, 105.250098, 9, 0.35, 130.00, 14/9/2021
